World Rank	Institution	Location	National Rank	Quality of Education	Alumni Employment	Quality of Faculty	Publications	Influence	Citations	Broad Impact	Patents	Score
168	Technical University of Denmark	Denmark	3	363	495	219	213	217	171	198	50	48.30
169	University of Hong Kong	Hong Kong	1	304	97	235+	128	200	171	149	203	48.29
170	University of Hamburg	Germany	9	329	144	136	148	134	136	124	547	48.26
171	University of Milan	Italy	3	168	401	182	116	180	160	113	273	48.24
172	University of Sheffield	United Kingdom	14	157	224	212	136	155	126	146	135	48.22
173	University of Calgary	Canada	8	378+	103	235+	146	177	109	153	821	48.21
174	University of Maryland, Baltimore	USA	76	378+	594+	235+	177	143	218	119	86	48.19
175	Trinity College, Dublin	Ireland	1	299	66	215	291	220	126	177	155	48.14
176	University of the Witwatersrand	South Africa	1	73	35	172	419	232	295	407	315	48.11
177	University of Göttingen	Germany	10	44	175	176	168	137	240	174	281	48.11
178	Stockholm University	Sweden	5	138	88	200	194	95	101	183	883	48.11
179	University of Massachusetts Medical School	USA	77	378+	594+	81	303	76	240	133	93	48.10
180	Université libre de Bruxelles	Belgium	3	182	115	72	240	214	113	174	175	48.06
181	University of Lausanne	Switzerland	6	90	412	235+	227	123	95	115	523	48.06
182	Goethe University Frankfurt	Germany	11	123	239	90	182	150	200	126	356	48.03
183	Hokkaido University	Japan	10	215	251	136	156	179	380	259	59	47.97
184	Zhejiang University	China	4	378+	277	235+	69	255	664	225	169	47.88
185	University of Illinois at Chicago	USA	78	378+	564	235+	128	186	160	192	82	47.85
186	Indiana University-Purdue University Indianapolis	USA	79	378+	474	235+	190	176	218	133	107	47.76
187	Cardiff University	United Kingdom	15	335	228	144	180	157	126	160	182	47.76
188	Louisiana State University	USA	80	294	161	235+	174	172	160	170	141	47.76
189	University of Cologne	Germany	12	378+	132	216	203	149	144	146	507	47.74
190	Wayne State University	USA	81	378+	151	235+	202	250	113	177	123	47.73
191	Pohang University of Science and Technology	South Korea	5	378+	594+	235+	306	334	295	286	32	47.73
192	Fudan University	China	5	378+	197	235+	108	223	268	192	190	47.72
193	University of Ottawa	Canada	9	231	182	235+	164	178	200	133	516	47.72
194	University of Erlangen-Nuremberg	Germany	13	243	577	235+	169	195	160	127	295	47.61
195	University of Strasbourg	France	9	77	594+	52	192	138	218	228	285	47.60
196	University of New Mexico	USA	82	378+	594+	235+	229	167	90	170	119	47.59
197	University of Bern	Switzerland	7	194	552	230	153	122	101	166	429	47.59
198	University of Bologna	Italy	4	362	346	235+	131	279	160	155	315	47.59
199	Queen Mary University of London	United Kingdom	16	113	378	235+	225	174	240	124	273	47.54
200	University of Münster	Germany	14	100	417	174	165	192	171	170	227	47.49
201	University of Liverpool	United Kingdom	17	191	212	225	150	164	144	177	387	47.48
202	University of Montpellier	France	10	303	483	168	147	130	109	177	584	47.47
203	Paris Descartes University	France	11	208	523	235+	161	127	240	138	482	47.47
204	University of Georgia	USA	83	96	170	172	187	129	171	263	94	47.45
205	Iowa State University	USA	84	306	185	109	162	187	136	194	303	47.44
206	University of Kansas	USA	85	241	110	235+	214	163	113	228	146	47.42
207	George Washington University	USA	86	201	59	235+	301	236	324	233	417	47.38
208	University of Massachusetts Amherst	USA	87	140	133	158	206	198	268	187	261	47.37
209	University of Missouri–Columbia	USA	88	264	91	100	226	226	218	263	150	47.36
210	TU Dresden	Germany	15	378+	594+	235+	185	199	160	183	120	47.32
211	University of Turin	Italy	5	326	435	160	204	274	200	138	461	47.30
212	Claude Bernard University Lyon 1	France	12	378+	572	235+	130	131	240	196	172	47.29
213	University of Western Australia	Australia	7	129	331	193	138	168	436	185	429	47.26
214	North Carolina State University	USA	89	183	219	235+	166	205	144	253	101	47.26
215	Karlsruhe Institute of Technology	Germany	16	368	180	189	189	294	126	233	115	47.24
216	Newcastle University	United Kingdom	18	378+	258	235+	191	158	268	166	338	47.23
217	University of California, Riverside	USA	90	258	594+	235+	222	115	184	166	215	47.23
218	Moscow Institute of Physics and Technology	Russia	2	19	347	235+	871	668	818+	1000	856	47.21
219	Maastricht University	Netherlands	8	378+	594+	235+	176	327	171	163	363	47.20
220	RWTH Aachen University	Germany	17	369	199	189	197	372	126	208	165	47.19
221	Sungkyunkwan University	South Korea	6	378+	155	235+	184	305	171	249	109	47.16
222	Autonomous University of Barcelona	Spain	2	378+	594+	235+	137	218	240	187	295	47.14
223	University of Science and Technology of China	China	6	378+	177	235+	125	260	324	215	558	47.10
224	Complutense University of Madrid	Spain	3	89	63	232	215	316	240	337	253	47.10
225	University of Connecticut	USA	91	317	253	235+	178	184	218	201	159	47.10
226	Hanyang University	South Korea	7	378+	123	235+	284	470	380	387	57	47.08
227	Paul Sabatier University - Toulouse III	France	13	378+	594+	235+	155	110	218	187	547	47.06
228	Chinese University of Hong Kong	Hong Kong	2	122	472	117	159	321	218	212	170	47.06
229	Brandeis University	USA	92	37	319	55	572	204	324	337	271	47.03
230	University of Kiel	Germany	18	203	468	214	237	182	200	163	391	47.02
231	Durham University	United Kingdom	19	79	245	80	244	222	184	243	370	47.02
232	University of Texas Health Science Center at Houston	USA	93	378+	594+	154	247	153	184	174	253	47.01
233	University of Houston	USA	94	378+	49	235+	307	258	436	347	155	47.00
234	Laval University	Canada	10	308	261	235+	221	264	184	208	133	46.99
235	University of Texas Health Science Center at San Antonio	USA	95	378+	594+	235+	323	216	200	153	237	46.99
236	University of Manitoba	Canada	11	141	94	154	268	293	324	272	146	46.98
237	University of Leicester	United Kingdom	20	378+	594+	235+	266	145	268	163	350	46.95
238	University of Gothenburg	Sweden	6	267	275	117	205	188	126	212	912+	46.91
239	University of Tennessee, Knoxville	USA	96	334	120	235+	208	193	240	228	412	46.90
240	University College Dublin	Ireland	2	254	119	235+	280	297	126	238	273	46.89
241	Julius-Maximilian's University of Würzburg	Germany	19	119	389	167	210	181	324	196	363	46.87
242	Nanjing University	China	7	355	363	235+	121	328	200	249	240	46.87
243	Université catholique de Louvain	Belgium	4	257	267	99	294	322	144	208	264	46.87
244	Johannes Gutenberg University of Mainz	Germany	20	305	594+	210	218	194	184	187	384	46.84
245	London School of Hygiene & Tropical Medicine	United Kingdom	21	378+	594+	197	277	299	268	160	644	46.84
246	Medical University of Vienna	Austria	1	378+	594+	235+	249	225	200	177	370	46.79
247	National Cheng Kung University	Taiwan	2	378+	51	235+	175	490	541	420	523	46.77
248	University of Düsseldorf	Germany	21	199	594+	235+	297	207	136	185	447	46.77
249	University of Vienna	Austria	2	202	183	112	234	156	200	228	547	46.76
250	Oregon State University	USA	97	154	250	235+	267	152	144	225	281	46.74
251	University of Florence	Italy	6	341	339	94	220	269	240	215	523	46.73
252	University of Auckland	New Zealand	1	248	330	235+	252	267	184	238	113	46.73
253	Sun Yat-sen University	China	8	378+	211	235+	142	355	240	272	253	46.70
254	University of Naples Federico II	Italy	7	344	449	235+	173	309	218	204	841	46.69
255	Delft University of Technology	Netherlands	9	321	269	235+	228	266	295	257	111	46.67
